install.time.total,
install.size.total,
start.time.managerWebpack,12000
start.time.previewWebpack,27000
start.time.managerRender,30654
start.time.previewRender,31957
build.time.build,52644
browse.time.managerRender,879
browse.time.previewRender,1507
browse.size.total,11862
browse.size.manager.total,2386
browse.size.manager.main,2
browse.size.manager.runtime,7
browse.size.manager.vendors,2377
browse.size.manager.uiDll,
browse.size.preview.total,2752
browse.size.preview.main,331
browse.size.preview.runtime,10
browse.size.preview.vendors,2411
browse.size.preview.docsDll,
